a,b
Valori,Cocco-Donati
Ginori,Dietisalvi
Ginori,Dal'Antella
Davanzati,Orlandini
Guadagni,Fioravanti
Guadagni,Bishceri
Ardinghello,Da Uzzano
Guasconi,Da Uzzano
Guicciardini,Benizzi
Guicciardini,Baroncelli
Baroncelli,Velluti
Velluti,Lamberteschi
Velluti,Albizzi
Tornabuoni,Solosmei
Solosmei,Della Casa
Albizzi,Altoviti
Albizzi,Guasconi
Albizzi,Peruzzi
Albizzi,Panciatichi
Panciatichi,Peruzzi
Panciatichi,Strozzi
Peruzzi,Aldobrandini
Peruzzi,Guasconi
Peruzzi,Castellani
Peruzzi,Strozzi
Strozzi,Rucellai
Strozzi,Benizzi
Strozzi,Guasconi
Guasconi,Rondinelli
Castellani,Rondinelli
Castellani,Pepi
Castellani,Scambrilla
Castellani,Benizzi
Rondinelli,Della Casa
Della Casa,Albizzi
Peruzzi,Della Casa
